date,avg_hourly_temperature,min_windchill,avg_dew_point,max_wind_gust,wind_gust_dir_10s,avg_health_index,precipitation,sunlight
2017-07-05,,,,windy_direction,NNE,,,16+
2017-07-04,,,,strong_winds,SSW,,,16+
2017-07-03,,,very humid,strong_winds,NW,,,16+
2017-07-02,,,very humid,windy_direction,SE,,,16+
2017-07-01,,,very humid,windy_direction,SW,,yes,16+
2017-06-30,,,very humid,strong_winds,NW,,,16+
2017-06-29,,,,,,,,16+
2017-06-28,,,very humid,windy_direction,W,,yes,16+
2017-06-27,,,,strong_winds,WNW,,yes,16+
2017-06-26,hot,,,strong_winds,NW,,yes,16+
2017-06-25,,,,strong_winds,SSE,,,16+
2017-06-24,,,,strong_winds,N,,,16+
2017-06-23,,,,windy_direction,N,,,16+
2017-06-22,,,,strong_winds,WNW,,yes,16+
2017-06-21,,,,strong_winds,WNW,,,16+
2017-06-20,,,,strong_winds,NW,,yes,16+
2017-06-19,,,,,,,yes,16+
2017-06-18,,,,strong_winds,SW,,,16+
2017-06-17,,,,strong_winds,WNW,,,16+
2017-06-16,,,,strong_winds,NNW,,yes,16+
2017-06-15,,,,windy_direction,WNW,,,16+
2017-06-14,,,very humid,,,,yes,16+
2017-06-13,,,,windy_direction,N,,yes,16+
2017-06-12,,,,strong_winds,S,,,16+
2017-06-11,,,,,,,yes,16+
2017-06-10,,,,windy_direction,N,,yes,16+
2017-06-09,,,very humid,strong_winds,W,,yes,16+
2017-06-08,hot,,,strong_winds,ESE,,,16+
2017-06-07,hot,,,windy_direction,SE,,,16+
2017-06-06,,,,windy_direction,SE,,,16+
2017-06-05,,,,windy_direction,NW,,yes,16+
2017-06-04,,,,strong_winds,NNW,,,16+
2017-06-03,,,,windy_direction,SE,,,16+
2017-06-02,,,very humid,strong_winds,NNW,,yes,16+
2017-06-01,,,very humid,windy_direction,NNW,,,16+
2017-05-31,hot,,,strong_winds,SW,,yes,16+
2017-05-30,,,,strong_winds,SSE,,,16+
2017-05-29,,,,windy_direction,ESE,,,16+
2017-05-28,,,,windy_direction,NNE,,,16+
2017-05-27,,,,windy_direction,N,,,16+
2017-05-26,,,,windy_direction,NW,,,16+
2017-05-25,,,,strong_winds,NNW,,,16+
2017-05-24,,,,strong_winds,N,,yes,16+
2017-05-23,hot,,,windy_direction,SSW,,,16+
2017-05-22,,,,,,,,16+
2017-05-21,,,,windy_direction,NW,,,16+
2017-05-20,,,,windy_direction,NW,,,16+
2017-05-19,,,,windy_direction,S,,,16+
2017-05-18,,,,strong_winds,SSE,,,16+
2017-05-17,,,,windy,SSE,,,16+
2017-05-16,,,,windy_direction,NE,,yes,15
2017-05-15,,,,strong_winds,NE,,yes,15
2017-05-14,,,,windy_direction,N,,yes,15
2017-05-13,,,,strong_winds,E,,yes,15
2017-05-12,,,,strong_winds,SE,,yes,15
2017-05-11,,,,strong_winds,ESE,,,15
2017-05-10,,,,windy_direction,W,,,15
2017-05-09,,,,,,,,15
2017-05-08,,,,windy_direction,WSW,,,15
2017-05-07,,,,windy_direction,NW,,yes,15
2017-05-06,,,,strong_winds,NNW,,yes,15
2017-05-05,,,,strong_winds,S,,,15
2017-05-04,,,,,,,,15
2017-05-03,,,,,,,,15
2017-05-02,,,,strong_winds,NW,,,15
2017-05-01,,,,,,,,15
2017-04-30,,,,strong_winds,WNW,,yes,15
2017-04-29,,,,windy_direction,SSE,,,14
2017-04-28,,moderate,,,,,,14
2017-04-27,,,,,,,,14
2017-04-26,,moderate,,,,,,14
2017-04-25,,moderate,,windy_direction,SSE,,yes,14
2017-04-24,,,,,,,yes,14
2017-04-23,,moderate,,windy_direction,ESE,,yes,14
2017-04-22,,,,windy_direction,E,,yes,14
2017-04-21,,moderate,,,,,yes,14
2017-04-20,,,,,,,,14
2017-04-19,,,,,,,,14
2017-04-18,,moderate,,,,,yes,14
2017-04-17,,,,windy_direction,ENE,,,14
2017-04-16,,moderate,,windy,S,,,14
2017-04-15,,moderate,,windy_direction,N,,yes,14
2017-04-14,,moderate,,windy_direction,NW,,yes,13
2017-04-13,,,,strong_winds,E,,yes,13
2017-04-12,,moderate,,windy_direction,E,,,13
2017-04-11,,low,,,,,,13
2017-04-10,,,,,,,yes,13
2017-04-09,,moderate,,windy_direction,SSE,,,13
2017-04-08,,,,,,,yes,13
2017-04-07,,,,windy,NW,,yes,13
2017-04-06,,,,windy_direction,ESE,,,13
2017-04-05,,moderate,,strong_winds,S,,,13
2017-04-04,,low,,windy_direction,N,,,13
2017-04-03,,,,windy_direction,NW,,,13
2017-04-02,,,,strong_winds,WNW,,,13
2017-04-01,,,,,,,,13
2017-03-31,,moderate,,strong_winds,S,,,12
2017-03-30,,,,,,,,12
2017-03-29,,moderate,,,,,,12
2017-03-28,,moderate,,,,,,12
2017-03-27,,,,,,,,12
2017-03-26,,moderate,,,,,,12
2017-03-25,,moderate,,,,,,12
2017-03-24,,moderate,,windy_direction,SSE,,,12
2017-03-23,,moderate,,,,,,12
2017-03-22,,moderate,,,,,,12
2017-03-21,,moderate,,strong_winds,SE,,,12
2017-03-20,,moderate,,windy_direction,N,,,12
2017-03-19,,moderate,,strong_winds,WNW,,yes,12
2017-03-18,,moderate,,strong_winds,NW,,,12
2017-03-17,,moderate,,windy_direction,SE,,yes,11
2017-03-16,,low,,,,,yes,11
2017-03-15,,moderate,,windy_direction,N,,,11
2017-03-14,,moderate,,windy_direction,S,moderate,,11
2017-03-13,,moderate,,windy_direction,SSE,,,11
2017-03-12,,moderate,,windy_direction,SSE,,yes,11
2017-03-11,,moderate,,,,,yes,11
2017-03-10,,high,,,,,yes,11
2017-03-09,,high,,,,,yes,11
2017-03-08,,high,,,,,yes,11
2017-03-07,,high,,windy_direction,NW,,,11
2017-03-06,,moderate,,,,,yes,11
2017-03-05,,moderate,,,,,yes,11
2017-03-04,,moderate,,strong_winds,NNE,,yes,11
2017-03-03,,moderate,,strong_winds,N,,,10
2017-03-02,,moderate,,,,,,10
2017-03-01,,moderate,,,,,,10
2017-02-28,,moderate,,,,,,10
2017-02-27,,moderate,,,,,,10
2017-02-26,,moderate,,strong_winds,N,,yes,10
2017-02-25,,moderate,,windy_direction,NNW,,yes,10
2017-02-24,,moderate,,,,,yes,10
2017-02-23,,moderate,,,,,,10
2017-02-22,,moderate,,,,,,10
2017-02-21,,moderate,,,,,,10
2017-02-20,,moderate,,,,,,10
2017-02-19,,,,windy_direction,SE,,yes,10
2017-02-18,,moderate,,windy_direction,ESE,,yes,10
2017-02-17,,low,,strong_winds,NW,,,10
2017-02-16,,,,windy,NW,,,9
2017-02-15,,,,,,moderate,,9
2017-02-14,,moderate,,,,,,9
2017-02-13,,,,windy_direction,W,,,9
2017-02-12,,moderate,,windy_direction,SW,,,9
2017-02-11,,moderate,,strong_winds,W,,,9
2017-02-10,,moderate,,,,,yes,9
2017-02-09,,moderate,,,,moderate,yes,9
2017-02-08,,moderate,,,,,,9
2017-02-07,,high,,,,,yes,9
2017-02-06,,high,,,,,yes,9
2017-02-05,,high,,,,,yes,9
2017-02-04,,moderate,,,,,yes,9
2017-02-03,,moderate,,,,,yes,9
2017-02-02,,moderate,,,,moderate,yes,9
2017-02-01,,moderate,,windy,NNW,,,8
2017-01-31,,moderate,,strong_winds,NW,,yes,8
2017-01-30,,moderate,,strong_winds,NW,,yes,8
2017-01-29,,moderate,,windy_direction,NW,,,8
2017-01-28,,moderate,,,,,,8
2017-01-27,,moderate,,,,,,8
2017-01-26,,moderate,,,,,,8
2017-01-25,,moderate,,,,moderate,,8
2017-01-24,,moderate,,,,,,8
2017-01-23,,moderate,,,,,,8
2017-01-22,,moderate,,,,,,8
2017-01-21,,moderate,,,,,,8
2017-01-20,,moderate,,,,,,8
2017-01-19,,moderate,,,,,,8
2017-01-18,,low,,,,,,8
2017-01-17,,low,,,,,,8
2017-01-16,,moderate,,,,,,8
2017-01-15,,moderate,,,,,,8
2017-01-14,,moderate,,,,,,8
2017-01-13,,moderate,,,,moderate,,<8
2017-01-12,,high,,,,,,<8
2017-01-11,,high,,strong_winds,N,,,<8
2017-01-10,,high,,strong_winds,NNW,,yes,<8
2017-01-09,,moderate,,,,,yes,<8
2017-01-08,,high,,,,,yes,<8
2017-01-07,,high,,windy_direction,N,,,<8
2017-01-06,,moderate,,windy_direction,SE,,yes,<8
2017-01-05,,moderate,,,,,yes,<8
2017-01-04,,moderate,,,,,,<8
2017-01-03,,moderate,,,,,,<8
2017-01-02,,moderate,,,,,yes,<8
2017-01-01,,moderate,,windy_direction,NW,,yes,<8
2016-12-31,,moderate,,windy_direction,NW,,yes,<8
2016-12-30,,moderate,,windy_direction,NW,,,<8
2016-12-29,,moderate,,,,,,<8
2016-12-28,,moderate,,strong_winds,NW,,,<8
2016-12-27,,moderate,,,,,,<8
2016-12-26,,high,,,,,yes,<8
2016-12-25,,high,,,,,yes,<8
2016-12-24,,moderate,,,,,yes,<8
2016-12-23,,moderate,,,,,yes,<8
2016-12-22,,moderate,,,,,,<8
2016-12-21,,moderate,,windy_direction,W,,,<8
2016-12-20,,moderate,,,,,,<8
2016-12-19,,moderate,,strong_winds,W,,,<8
2016-12-18,,moderate,,strong_winds,W,,,<8
2016-12-17,,high,,,,,yes,<8
2016-12-16,,high,,,,,yes,<8
2016-12-15,,high,,,,,,<8
2016-12-14,,moderate,,,,moderate,,<8
2016-12-13,,moderate,,strong_winds,W,,,<8
2016-12-12,,moderate,,windy_direction,NW,,,<8
2016-12-11,,high,,windy_direction,W,,,<8
2016-12-10,,high,,,,,yes,<8
2016-12-09,,high,,windy,SSE,,yes,<8
2016-12-08,,high,,,,,yes,<8
2016-12-07,,high,,,,,yes,<8
2016-12-06,,high,,windy_direction,NW,,yes,<8
2016-12-05,,high,,strong_winds,NW,,yes,<8
2016-12-04,,moderate,,strong_winds,NW,,yes,<8
2016-12-03,,moderate,,,,,,<8
2016-12-02,,moderate,,windy_direction,S,,,<8
2016-12-01,,moderate,,,,,yes,<8
2016-11-30,,moderate,,,,,yes,<8
2016-11-29,,moderate,,,,,,<8
2016-11-28,,moderate,,,,,,<8
2016-11-27,,moderate,,,,,,8
2016-11-26,,moderate,,,,,,8
2016-11-25,,moderate,,windy_direction,WNW,,,8
2016-11-24,,moderate,,windy_direction,SSE,,,8
2016-11-23,,moderate,,windy_direction,SE,,,8
2016-11-22,,moderate,,windy_direction,SSE,,,8
2016-11-21,,moderate,,,,,,8
2016-11-20,,moderate,,,,,,8
2016-11-19,,moderate,,windy_direction,SE,,yes,8
2016-11-18,,moderate,,,,,,8
2016-11-17,,moderate,,,,,,8
2016-11-16,,moderate,,,,,,8
2016-11-15,,moderate,,,,,yes,8
2016-11-14,,,,strong_winds,W,,,8
2016-11-13,,,,,,,yes,8
2016-11-12,,,,,,,yes,8
2016-11-11,,,,windy_direction,SSE,,,8
2016-11-10,,low,,strong_winds,S,,,8
2016-11-09,,,,windy_direction,NW,,,8
2016-11-08,,,,,,,,9
2016-11-07,,moderate,,,,,yes,9
2016-11-06,,,,,,,yes,9
2016-11-05,,,,,,,,9
2016-11-04,,,,,,,,9
2016-11-03,,,,,,,,9
2016-11-02,,moderate,,,,,,9
2016-11-01,,moderate,,,,,yes,9
2016-10-31,,moderate,,,,,,9
2016-10-30,,,,,,,,9
2016-10-29,,,,,,,,9
2016-10-28,,,,,,,yes,9
2016-10-27,,,,,,,yes,9
2016-10-26,,,,,,,yes,9
2016-10-25,,,,,,,yes,9
2016-10-24,,,,windy_direction,ESE,,,10
2016-10-23,,moderate,,windy_direction,E,,,10
2016-10-22,,moderate,,,,,,10
2016-10-21,,,,strong_winds,NW,,,10
2016-10-20,,,,,,,,10
2016-10-19,,,,,,,,10
2016-10-18,,moderate,,,,,,10
2016-10-17,,moderate,,,,,,10
2016-10-16,,moderate,,windy,ESE,,yes,10
2016-10-15,,moderate,,,,,yes,10
2016-10-14,,moderate,,windy,ENE,,yes,10
2016-10-13,,moderate,,windy_direction,E,,,10
2016-10-12,,moderate,,,,,,10
2016-10-11,,moderate,,,,,,10
2016-10-10,,moderate,,,,,,10
2016-10-09,,moderate,,windy_direction,N,,yes,11
2016-10-08,,moderate,,windy_direction,SE,,yes,11
2016-10-07,,moderate,,strong_winds,SE,,yes,11
2016-10-06,,moderate,,,,,,11
2016-10-05,,moderate,,windy_direction,N,,,11
2016-10-04,,,,windy_direction,E,,,11
2016-10-03,,,,,,,,11
2016-10-02,,,,windy_direction,NW,,yes,11
2016-10-01,,,,windy_direction,E,,yes,11
2016-09-30,,,,windy_direction,NE,,,11
2016-09-29,,,,,,,,11
2016-09-28,,,,windy_direction,SSE,,,11
2016-09-27,,,,windy_direction,NW,,,11
2016-09-26,,,,windy_direction,S,,,11
2016-09-25,,,,,,,,12
2016-09-24,,,,strong_winds,NW,,yes,12
2016-09-23,,,,strong_winds,S,,,12
2016-09-22,,,,strong_winds,S,,,12
2016-09-21,,,,,,,,12
2016-09-20,,,,windy_direction,N,,,12
2016-09-19,,,,windy_direction,N,,,12
2016-09-18,,,,strong_winds,WNW,,,12
2016-09-17,,,,windy_direction,WNW,,yes,12
2016-09-16,,,,,,,,12
2016-09-15,,,,,,,,12
2016-09-14,,,,windy_direction,W,,,12
2016-09-13,,,,windy_direction,WSW,,,12
2016-09-12,,,,,,,,12
2016-09-11,,,,strong_winds,NNW,,,12
2016-09-10,,,,strong_winds,WNW,,,13
2016-09-09,,,,,,,,13
2016-09-08,,,,strong_winds,NW,,yes,13
2016-09-07,,,,,,,,13
2016-09-06,,,,,,,yes,13
2016-09-05,,,,,,,,13
2016-09-04,,,,,,,,13
2016-09-03,,,,strong_winds,NW,,,13
2016-09-02,,,,windy_direction,WNW,,yes,13
2016-09-01,,,very humid,windy_direction,NNW,,,13
2016-08-31,,,very humid,strong_winds,SE,,yes,13
2016-08-30,,,,strong_winds,SE,,,13
2016-08-29,,,,windy_direction,S,,,13
2016-08-28,,,,strong_winds,W,,,13
2016-08-27,,,very humid,windy_direction,W,,yes,14
2016-08-26,,,,,,,yes,14
2016-08-25,,,very humid,strong_winds,NNW,,yes,14
2016-08-24,,,very humid,strong_winds,N,,yes,14
2016-08-23,,,very humid,strong_winds,N,,yes,14
2016-08-22,,,very humid,strong_winds,NW,,yes,14
2016-08-21,,,very humid,,,,yes,14
2016-08-20,,,,,,,yes,14
2016-08-19,,,,windy_direction,S,,,14
2016-08-18,,,,strong_winds,NW,,,14
2016-08-17,,,,strong_winds,N,,,14
2016-08-16,,,very humid,windy_direction,NW,,,14
2016-08-15,hot,,very humid,windy,W,,,14
2016-08-14,,,very humid,,,,,14
2016-08-13,,,very humid,,,,yes,14
2016-08-12,,,very humid,strong_winds,NW,,yes,15
2016-08-11,,,very humid,strong_winds,NW,,,15
2016-08-10,,,comfortable,,,,yes,15
2016-08-09,,,comfortable,windy_direction,NE,,yes,15
2016-08-08,,,very humid,windy_direction,ESE,,yes,15
2016-08-07,,,very humid,windy_direction,SSE,,,15
2016-08-06,,,comfortable,windy_direction,ESE,,yes,15
2016-08-05,,,very humid,windy_direction,ESE,,,15
2016-08-04,,,very humid,windy_direction,WNW,,yes,15
2016-08-03,,,comfortable,windy_direction,WNW,,yes,15
2016-08-02,,,very humid,,,,,15
2016-08-01,,,very humid,strong_winds,WNW,,yes,15
2016-07-31,,,very humid,strong_winds,W,,yes,15
2016-07-30,,,comfortable,strong_winds,W,,yes,15
2016-07-29,hot,,very humid,windy_direction,SSW,,yes,15
2016-07-28,,,comfortable,strong_winds,W,,yes,15
2016-07-27,hot,,comfortable,strong_winds,SW,,yes,15
2016-07-26,,,comfortable,,,,,16+
2016-07-25,,,,windy_direction,SSE,,,16+
2016-07-24,,,very humid,windy_direction,WSW,,,16+
2016-07-23,,,,windy_direction,NW,,,16+
2016-07-22,hot,,very humid,windy_direction,SW,,yes,16+
2016-07-21,,,very humid,windy_direction,W,,,16+
2016-07-20,,,comfortable,strong_winds,NW,,yes,16+
2016-07-19,hot,,very humid,windy_direction,W,,,16+
2016-07-18,,,very humid,windy_direction,S,,,16+
2016-07-17,,,very humid,,,,yes,16+
2016-07-16,,,very humid,,,,yes,16+
2016-07-15,,,very humid,strong_winds,S,,yes,16+
2016-07-14,,,very humid,,,,,16+
2016-07-13,,,very humid,windy_direction,N,,,16+
2016-07-12,,,very humid,windy_direction,N,,,16+
2016-07-11,,,comfortable,strong_winds,NNE,,yes,16+
2016-07-10,,,very humid,windy_direction,ENE,,yes,16+
2016-07-09,,,very humid,,,,yes,16+
2016-07-08,,,very humid,strong_winds,ENE,,yes,16+
2016-07-07,,,very humid,windy_direction,WNW,,,16+
2016-07-06,,,very humid,strong_winds,NNE,,,16+
2016-07-05,,,,windy_direction,NW,,,16+
2016-07-04,,,,,,,yes,16+
2016-07-03,,,very humid,strong_winds,WNW,,yes,16+
2016-07-02,,,comfortable,windy,SSE,,yes,16+
2016-07-01,,,very humid,windy,WNW,,yes,16+
2016-06-30,,,comfortable,strong_winds,SW,,yes,16+
2016-06-29,,,comfortable,windy_direction,ESE,,yes,16+
2016-06-28,hot,,very humid,windy_direction,SE,,yes,16+
2016-06-27,,,very humid,windy_direction,WNW,,,16+
2016-06-26,,,very humid,windy,NW,,yes,16+
2016-06-25,,,very humid,windy_direction,NW,,yes,16+
2016-06-24,,,very humid,windy_direction,NNW,,yes,16+
2016-06-23,,,very humid,strong_winds,WSW,,yes,16+
2016-06-22,,,very humid,strong_winds,WSW,,yes,16+
2016-06-21,,,,windy_direction,SW,,yes,16+
2016-06-20,,,,,,,,16+
2016-06-19,,,,strong_winds,NNW,,yes,16+
2016-06-18,,,,,,,,16+
2016-06-17,,,,strong_winds,W,,yes,16+
2016-06-16,,,,strong_winds,WNW,,,16+
2016-06-15,,,,strong_winds,SSW,,yes,16+
2016-06-14,,,,windy_direction,S,,,16+
2016-06-13,,,,strong_winds,SSE,,,16+
2016-06-12,,,,strong_winds,W,,yes,16+
2016-06-11,,,,strong_winds,S,,yes,16+
2016-06-10,,,,windy_direction,E,,,16+
2016-06-09,,,very humid,strong_winds,NW,,yes,16+
2016-06-08,,,very humid,windy_direction,E,,yes,16+
2016-06-07,hot,,,windy,WNW,,,16+
2016-06-06,hot,,,strong_winds,S,,,16+
2016-06-05,,,,,,,,16+
2016-06-04,,,,windy_direction,NNW,,,16+
2016-06-03,,,,strong_winds,WNW,,,16+
2016-06-02,,,,strong_winds,NW,,yes,16+
