MEETING_ID,MEETING_TYPE,RECORD_TYPE,MEETING_DATE,MEETING_TIME,MEETING_LOCATION
1820,Utility Committee,Minutes,02/24/2017 12:00:00 AM,9:30 AM,River Valley Room
1857,Executive Committee,Minutes,02/28/2017 12:00:00 AM,9:30 AM,River Valley Room
1880,Agenda Review Committee,Past,03/07/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1907,Community and Public Services Committee,Minutes,03/03/2017 12:00:00 AM,9:30 am,Councillors' Boardroom
1826,City Council Public Hearing,Minutes,03/06/2017 12:00:00 AM,1:30 pm,Council Chamber
1941,Community Standards and Licence Appeal Committee,Minutes,03/02/2017 12:00:00 AM,9:30 AM,Churchill Building
1799,City Council,Minutes,03/07/2017 12:00:00 AM,9:30 am,Council Chamber
1898,Agenda Review Committee,Past,03/14/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1770,Community and Public Services Committee,Minutes,03/13/2017 12:00:00 AM,9:30 am,River Valley Room
1761,Executive Committee,Minutes,03/14/2017 12:00:00 AM,9:30 AM,River Valley Room
1858,Executive Committee,Minutes,03/16/2017 12:00:00 AM,1:30 PM,Councillors' Boardroom
1881,Agenda Review Committee,Past,03/21/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1822,Urban Planning Committee,Minutes,03/15/2017 12:00:00 AM,9:30 am,River Valley Room
1937,Council Services Committee,Minutes,03/20/2017 12:00:00 AM,9:30 am,Councillors' Boardroom
1827,City Council Public Hearing,Minutes,03/20/2017 12:00:00 AM,1:30 pm,Council Chamber
1908,Community and Public Services Committee,Minutes,03/23/2017 12:00:00 AM,1:30 PM,Councillors' Lounge
1809,City Council,Minutes,03/21/2017 12:00:00 AM,9:30 am,Council Chamber
1847,Urban Planning Committee,Minutes,03/23/2017 12:00:00 AM,9:30 am,Councillors' Lounge
1882,Agenda Review Committee,Past,04/04/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1796,Community and Public Services Committee,Minutes,04/03/2017 12:00:00 AM,9:30 am,River Valley Room
1848,Urban Planning Committee,Minutes,04/05/2017 12:00:00 AM,9:30 am,River Valley Room
1859,Executive Committee,Minutes,04/04/2017 12:00:00 AM,9:30 AM,River Valley Room
1883,Agenda Review Committee,Past,04/11/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1828,City Council Public Hearing,Minutes,04/10/2017 12:00:00 AM,1:30 pm,Council Chamber
1811,City Council,Minutes,04/11/2017 12:00:00 AM,9:30 am,Council Chamber
1910,Audit Committee,Minutes,04/12/2017 12:00:00 AM,1:30 PM,River Valley Room
1884,Agenda Review Committee,Past,04/18/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1947,Community Standards and Licence Appeal Committee,Minutes,04/06/2017 12:00:00 AM,9:30 AM,Churchill Building
1911,Urban Planning Committee,Minutes,04/19/2017 12:00:00 AM,9:30 am,River Valley Room
1813,City Council,Agenda,04/26/2017 12:00:00 AM,1:30 PM,Council Chamber
1860,Executive Committee,Minutes,04/18/2017 12:00:00 AM,9:30 AM,River Valley Room
1899,Agenda Review Committee,Past,04/25/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1912,Community and Public Services Committee,Minutes,04/21/2017 12:00:00 AM,9:30 am,River Valley Room
1913,Utility Committee,Minutes,04/24/2017 12:00:00 AM,9:30 AM,River Valley Room
1812,City Council,Minutes,04/25/2017 12:00:00 AM,9:30 am,Council Chamber
1829,City Council Public Hearing,Minutes,04/24/2017 12:00:00 AM,1:30 pm,Council Chamber
1885,Agenda Review Committee,Past,05/02/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1914,Community and Public Services Committee,Minutes,05/01/2017 12:00:00 AM,9:30 am,River Valley Room
1952,Special City Council,Minutes,05/01/2017 12:00:00 AM,3:45 PM,Council Chamber
1862,Executive Committee,Minutes,05/02/2017 12:00:00 AM,9:30 AM,River Valley Room
1867,City Council,Past,05/05/2017 12:00:00 AM,9:30 am,Council Chamber
1850,Urban Planning Committee,Minutes,05/03/2017 12:00:00 AM,9:30 am,River Valley Room
1954,Community Standards and Licence Appeal Committee,Minutes,05/04/2017 12:00:00 AM,9:30 AM,Churchill Building
1886,Agenda Review Committee,Past,05/09/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1915,Council Services Committee,Minutes,05/08/2017 12:00:00 AM,9:30 am,Councillors' Boardroom
1830,City Council Public Hearing,Minutes,05/08/2017 12:00:00 AM,1:30 pm,Council Chamber
1868,City Council,Minutes,05/09/2017 12:00:00 AM,9:30 am,Council Chamber
1956,Special Audit Committee,Minutes,05/11/2017 12:00:00 AM,3:45 PM,River Valley Room
1887,Agenda Review Committee,Past,05/23/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1851,Urban Planning Committee,Minutes,05/24/2017 12:00:00 AM,9:30 am,River Valley Room
1763,Executive Committee,Minutes,05/23/2017 12:00:00 AM,9:30 AM,River Valley Room
1953,Special City Council,Minutes,05/23/2017 12:00:00 AM,3:45 PM,Council Chamber
1888,Agenda Review Committee,Past,05/30/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1960,Special Audit Committee,Minutes,05/30/2017 12:00:00 AM,12:00 PM,River Valley Room
1916,Community and Public Services Committee,Minutes,05/26/2017 12:00:00 AM,9:30 am,River Valley Room
1831,City Council Public Hearing,Minutes,05/29/2017 12:00:00 AM,1:30 pm,Council Chamber
1959,CM and CA Performance Review Committee,Minutes,05/26/2017 12:00:00 AM,12:00 PM,OCC Boardroom
1869,City Council,Minutes,05/30/2017 12:00:00 AM,9:30 am,Council Chamber
1889,Agenda Review Committee,Past,06/06/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1863,Executive Committee,Minutes,06/06/2017 12:00:00 AM,9:30 AM,River Valley Room
1852,Urban Planning Committee,Minutes,06/07/2017 12:00:00 AM,9:30 am,River Valley Room
1819,Community and Public Services Committee,Minutes,06/08/2017 12:00:00 AM,9:30 am,River Valley Room
1890,Agenda Review Committee,Past,06/13/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1832,City Council Public Hearing,Minutes,06/12/2017 12:00:00 AM,1:30 pm,Council Chamber
1918,Utility Committee,Minutes,06/09/2017 12:00:00 AM,9:30 AM,River Valley Room
1938,Council Services Committee,Minutes,06/12/2017 12:00:00 AM,9:30 am,Councillors' Boardroom
1870,City Council,Minutes,06/14/2017 12:00:00 AM,1:30 PM,Council Chamber
1800,City Council,Minutes,06/13/2017 12:00:00 AM,9:30 am,Council Chamber
1891,Agenda Review Committee,Past,06/20/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1967,Community Standards and Licence Appeal Committee,Minutes,06/15/2017 12:00:00 AM,9:30 AM,Churchill Building
1920,Community and Public Services Committee,Minutes,06/19/2017 12:00:00 AM,9:30 am,River Valley Room
1762,Executive Committee,Minutes,06/20/2017 12:00:00 AM,9:30 AM,River Valley Room
1803,Urban Planning Committee,Minutes,06/23/2017 12:00:00 AM,9:30 am,River Valley Room
1892,Agenda Review Committee,Past,06/27/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1871,City Council,Minutes,06/27/2017 12:00:00 AM,9:30 am,Council Chamber
1921,Audit Committee,Minutes,06/29/2017 12:00:00 AM,9:30 am,River Valley Room
1833,City Council Public Hearing,Minutes,06/28/2017 12:00:00 AM,1:30 pm,Council Chamber
1893,Agenda Review Committee,Past,07/04/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1864,Executive Committee,Minutes,07/04/2017 12:00:00 AM,9:30 AM,River Valley Room
1922,Community and Public Services Committee,Minutes,07/06/2017 12:00:00 AM,9:30 am,River Valley Room
1853,Urban Planning Committee,Minutes,07/05/2017 12:00:00 AM,9:30 am,River Valley Room
1971,Council Compensation Committee,Minutes,07/07/2017 12:00:00 AM,2:00 PM,Office of the City Clerk Boardroom
1834,City Council Public Hearing,Minutes,07/10/2017 12:00:00 AM,1:30 pm,Council Chamber
1336,City Council,Minutes,07/11/2017 12:00:00 AM,9:30 am,Council Chamber
1973,Community Standards and Licence Appeal Committee,Minutes,07/13/2017 12:00:00 AM,9:30 AM,Churchill Building
1980,Council Compensation Committee,Minutes,08/10/2017 12:00:00 AM,2:00 PM,Office of the City Clerk Boardroom
1894,Agenda Review Committee,Past,08/15/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1895,Agenda Review Committee,Past,08/22/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1924,Council Services Committee,Agenda,08/28/2017 12:00:00 AM,9:30 am,Councillors' Boardroom
1984,Community Standards and Licence Appeal Committee,Agenda,08/24/2017 12:00:00 AM,1:30 pm,River Valley Room
1923,Community and Public Services Committee,Minutes,08/21/2017 12:00:00 AM,9:30 am,River Valley Room
1854,Urban Planning Committee,Minutes,08/23/2017 12:00:00 AM,9:30 am,River Valley Room
1865,Executive Committee,Minutes,08/22/2017 12:00:00 AM,9:30 AM,River Valley Room
1896,Agenda Review Committee,Past,08/29/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1835,City Council Public Hearing,Minutes,08/28/2017 12:00:00 AM,1:30 pm,Council Chamber
1925,Utility Committee,Minutes,08/30/2017 12:00:00 AM,1:30 PM,River Valley Room
1873,City Council,Minutes,08/29/2017 12:00:00 AM,9:30 am,Council Chamber
1874,City Council,Past,09/01/2017 12:00:00 AM,9:30 am,Council Chamber
1897,Agenda Review Committee,Past,09/05/2017 12:00:00 AM,8:45 AM,Mayor's Boardroom
1777,Executive Committee,Minutes,09/05/2017 12:00:00 AM,9:30 AM,River Valley Room
1855,Urban Planning Committee,Minutes,09/06/2017 12:00:00 AM,9:30 am,River Valley Room
1768,Community and Public Services Committee,Minutes,09/07/2017 12:00:00 AM,9:30 am,River Valley Room
1988,Special Executive Committee,Minutes,09/07/2017 12:00:00 AM,12:00 PM,Councillors' Boardroom
1994,Community Standards and Licence Appeal Committee,Agenda,09/14/2017 12:00:00 AM,9:30 AM,Churchill Building
1926,Audit Committee,Minutes,09/11/2017 12:00:00 AM,9:30 am,River Valley Room
1836,City Council Public Hearing,Minutes,09/11/2017 12:00:00 AM,1:30 pm,Council Chamber
1801,City Council,Minutes,09/12/2017 12:00:00 AM,9:30 am,Council Chamber
1958,Executive Committee,Past,10/02/2017 12:00:00 AM,9:30 AM,River Valley Room
2066,Inter-municipal and Regional Development Committee,Past,04/19/2017 12:00:00 AM,9:30 AM,River Valley Room
2067,Audit Committee,Past,04/11/2017 12:00:00 AM,9:30 am,River Valley Room
2071,Utility Committee,Past,06/08/2017 12:00:00 AM,9:30 AM,River Valley Room
